epoch,accuracy,f1_macro,f1_micro,loss,val_accuracy,val_f1_macro,val_f1_micro,val_loss
0,0.37411558628082275,0.09009325504302979,0.3741154968738556,2.221467971801758,0.48644912242889404,0.14430108666419983,0.48644906282424927,1.7767189741134644
1,0.48148584365844727,0.15647822618484497,0.4814857840538025,1.743855357170105,0.55143803358078,0.20299018919467926,0.5514379739761353,1.5204359292984009
2,0.5489386916160583,0.22724303603172302,0.5489386320114136,1.5462956428527832,0.6252765655517578,0.28586405515670776,0.625276505947113,1.278271198272705
3,0.6070754528045654,0.29451149702072144,0.6070753931999207,1.3636630773544312,0.665514349937439,0.3639147877693176,0.6655142903327942,1.1893010139465332
4,0.6382665038108826,0.3527977168560028,0.6382664442062378,1.2633758783340454,0.7018805146217346,0.4185922145843506,0.7018804550170898,1.0389137268066406
5,0.665919840335846,0.40483251214027405,0.6659197807312012,1.1530851125717163,0.7050608396530151,0.4477734863758087,0.7050607800483704,1.0342587232589722
6,0.688738226890564,0.43710318207740784,0.688738226890564,1.0809917449951172,0.7251105904579163,0.47456249594688416,0.7251105308532715,0.9873111248016357
7,0.7063089609146118,0.4620841443538666,0.706308901309967,1.026114583015442,0.7407355904579163,0.5082349181175232,0.7407355308532715,0.9156173467636108
8,0.7255306839942932,0.48840421438217163,0.7255306839942932,0.9652718305587769,0.7515209913253784,0.512651264667511,0.7515209317207336,0.8735785484313965
9,0.7373231053352356,0.5076905488967896,0.7373231053352356,0.9191085696220398,0.75456303358078,0.5342342257499695,0.75456303358078,0.8595084547996521
10,0.7515919804573059,0.5337615013122559,0.7515919208526611,0.8694174289703369,0.7505530714988708,0.530757486820221,0.7505530714988708,0.8547685742378235
11,0.7601414918899536,0.5447937846183777,0.7601414918899536,0.8400499820709229,0.7553926706314087,0.5501074194908142,0.7553926706314087,0.869312047958374
12,0.7714622616767883,0.5623869299888611,0.7714622616767883,0.7976852655410767,0.7703263163566589,0.5599286556243896,0.7703261971473694,0.8209056258201599
13,0.7867924571037292,0.5888053178787231,0.7867923974990845,0.7524440288543701,0.7736449241638184,0.5648860931396484,0.7736448645591736,0.8522498607635498
14,0.7882075309753418,0.5979137420654297,0.7882075309753418,0.740530252456665,0.7805586457252502,0.5859082937240601,0.7805586457252502,0.7904320955276489
15,0.7964622974395752,0.603517472743988,0.7964622974395752,0.7094060182571411,0.783324122428894,0.5935952663421631,0.783324122428894,0.796776533126831
16,0.8072523474693298,0.6262634992599487,0.8072522282600403,0.6706751585006714,0.788025438785553,0.6055300235748291,0.7880253195762634,0.7683764696121216
17,0.8129127621650696,0.6405725479125977,0.8129127621650696,0.6490566730499268,0.7859513163566589,0.6081298589706421,0.7859513163566589,0.7809991836547852
18,0.8204599022865295,0.660677433013916,0.8204599022865295,0.6295190453529358,0.7995021939277649,0.6189057230949402,0.7995021343231201,0.7496466636657715
19,0.8268278241157532,0.6668567657470703,0.8268277645111084,0.6070631742477417,0.7907909154891968,0.6197925209999084,0.790790855884552,0.7586658596992493
20,0.8330188989639282,0.6842870712280273,0.8330187797546387,0.5825589895248413,0.8001936078071594,0.6254634261131287,0.8001935482025146,0.7341399788856506
21,0.8364387154579163,0.6872363686561584,0.8364385962486267,0.5638444423675537,0.8026825189590454,0.6245872378349304,0.8026823997497559,0.7389118075370789
22,0.8398585319519043,0.6978505253791809,0.8398585319519043,0.5504248142242432,0.8066924810409546,0.6559852957725525,0.8066924810409546,0.7239968776702881
23,0.849056601524353,0.7169502377510071,0.849056601524353,0.5243315696716309,0.7983959913253784,0.6365103721618652,0.7983959317207336,0.7845767736434937
24,0.8558372855186462,0.7310072779655457,0.8558372259140015,0.5028547048568726,0.8024059534072876,0.6527096629142761,0.8024058938026428,0.7465316653251648
25,0.8586674928665161,0.7445160746574402,0.8586674928665161,0.48399561643600464,0.8151271939277649,0.6655951738357544,0.8151271343231201,0.6992582678794861
26,0.8619104027748108,0.7492468357086182,0.861910343170166,0.47359713912010193,0.8044800758361816,0.6501339077949524,0.8044800162315369,0.7432239055633545
27,0.8642688989639282,0.7515080571174622,0.8642688989639282,0.4656428098678589,0.8101493120193481,0.6773895025253296,0.8101492524147034,0.7230403423309326
28,0.8698113560676575,0.7665359973907471,0.8698112964630127,0.4494306445121765,0.8148506879806519,0.6893071532249451,0.8148506283760071,0.6964067220687866
29,0.8717570900917053,0.7656458020210266,0.8717569708824158,0.44374901056289673,0.8127765655517578,0.6791941523551941,0.812776505947113,0.7215914130210876
30,0.87877357006073,0.7803983688354492,0.8787734508514404,0.4094221293926239,0.8156803250312805,0.6883089542388916,0.8156802654266357,0.7361357808113098
31,0.8806014060974121,0.7896119356155396,0.8806012868881226,0.4169369041919708,0.816786527633667,0.6839920878410339,0.816786527633667,0.7105855345726013
32,0.8806604146957397,0.790039598941803,0.880660355091095,0.40152162313461304,0.8246681094169617,0.7026169896125793,0.8246680498123169,0.6934528350830078
33,0.8847287893295288,0.7966342568397522,0.8847286701202393,0.4043911397457123,0.8263274431228638,0.7157639265060425,0.826327383518219,0.6621227264404297
34,0.8946344256401062,0.8235439658164978,0.8946343660354614,0.36340850591659546,0.8174778819084167,0.6989719867706299,0.817477822303772,0.7196815013885498
35,0.8900943398475647,0.8098897933959961,0.8900942802429199,0.373401939868927,0.8286780714988708,0.7195429801940918,0.8286780118942261,0.6794559955596924
36,0.8972877264022827,0.8291003108024597,0.8972876667976379,0.35619643330574036,0.8267422318458557,0.7157066464424133,0.8267422318458557,0.6888627409934998
37,0.8961674571037292,0.8183488845825195,0.8961673974990845,0.35717591643333435,0.8288163542747498,0.714375376701355,0.8288163542747498,0.7056604623794556
38,0.8962854146957397,0.8257043361663818,0.8962854146957397,0.35213103890419006,0.8248063921928406,0.7154533863067627,0.8248063921928406,0.7117409706115723
39,0.9025943279266357,0.8337018489837646,0.9025943279266357,0.3271639347076416,0.8191371560096741,0.713957667350769,0.8191371560096741,0.7521100044250488
40,0.9087854027748108,0.8432483077049255,0.908785343170166,0.31180471181869507,0.8296459913253784,0.7188680768013,0.8296459913253784,0.697537899017334
41,0.9106721878051758,0.8541893362998962,0.910672128200531,0.30535927414894104,0.8307521939277649,0.7260741591453552,0.8307521343231201,0.7173160314559937
