epoch,accuracy,f1_macro,f1_micro,loss,val_accuracy,val_f1_macro,val_f1_micro,val_loss
0,0.5999053120613098,0.42007604241371155,0.599905252456665,1.3946354389190674,0.6775949001312256,0.4977971315383911,0.6775948405265808,1.2520407438278198
1,0.7548531889915466,0.6375505924224854,0.7548531293869019,0.8249883055686951,0.791573703289032,0.694420576095581,0.7915736436843872,0.7435767650604248
2,0.8046875,0.7152696847915649,0.8046874403953552,0.6529680490493774,0.810128390789032,0.706458330154419,0.8101283311843872,0.6657940745353699
3,0.8377130627632141,0.7721403241157532,0.8377129435539246,0.5451958179473877,0.8152902126312256,0.7183935046195984,0.8152901530265808,0.6885908246040344
4,0.8565932512283325,0.7958627343177795,0.8565931916236877,0.45979344844818115,0.8392857313156128,0.7616966962814331,0.839285671710968,0.5710274577140808
5,0.8794388771057129,0.8367834687232971,0.8794388771057129,0.38768380880355835,0.8405413031578064,0.7580587267875671,0.8405412435531616,0.6107615828514099
6,0.8957149386405945,0.8618085980415344,0.8957148790359497,0.33387520909309387,0.8402622938156128,0.7655618190765381,0.840262234210968,0.5946555137634277
7,0.904296875,0.8717710971832275,0.904296875,0.2980930209159851,0.8504464626312256,0.78521329164505,0.8504464626312256,0.5980417132377625
8,0.9195075631141663,0.8834187388420105,0.9195075035095215,0.260109007358551,0.8498884439468384,0.7737417221069336,0.8498884439468384,0.6195079684257507
9,0.9272016882896423,0.901581346988678,0.9272016286849976,0.23049120604991913,0.845284640789032,0.7807519435882568,0.8452845811843872,0.6465739011764526
10,0.9317589402198792,0.9106858372688293,0.9317588210105896,0.21047961711883545,0.8438895344734192,0.764721691608429,0.8438894748687744,0.6557139754295349
11,0.9400449395179749,0.9147500991821289,0.9400449395179749,0.18356910347938538,0.8529576063156128,0.7788694500923157,0.8529576063156128,0.6205201148986816
12,0.9468513131141663,0.9306379556655884,0.9468512535095215,0.1644710749387741,0.8616071939468384,0.800411581993103,0.8616071939468384,0.6399093866348267
13,0.9506391882896423,0.9374723434448242,0.9506391882896423,0.15664905309677124,0.8554688096046448,0.7942633628845215,0.85546875,0.6664356589317322
14,0.9519412517547607,0.9375753402709961,0.9519411325454712,0.1490902602672577,0.8617466688156128,0.7897270321846008,0.861746609210968,0.6649563908576965
15,0.9563801884651184,0.9429613947868347,0.9563801884651184,0.13665956258773804,0.8581194877624512,0.7929189801216125,0.8581194281578064,0.6679004430770874
16,0.9560250639915466,0.9455419182777405,0.9560250043869019,0.13547471165657043,0.8635603189468384,0.7907782793045044,0.8635602593421936,0.6589994430541992
17,0.9581557512283325,0.9407140016555786,0.9581556916236877,0.12630951404571533,0.8624442219734192,0.7935255169868469,0.8624442219734192,0.7091414332389832
18,0.9588068127632141,0.9484466314315796,0.9588067531585693,0.12415197491645813,0.8655134439468384,0.8012925982475281,0.8655133247375488,0.6482090950012207
19,0.9640743136405945,0.9509055018424988,0.9640742540359497,0.1079009547829628,0.8597935438156128,0.7796919345855713,0.859793484210968,0.6783227324485779
20,0.9641926884651184,0.9525260925292969,0.9641926288604736,0.10924424976110458,0.863839328289032,0.7909058332443237,0.8638392686843872,0.6875259876251221
21,0.9646661877632141,0.9543333053588867,0.9646660685539246,0.10416603833436966,0.8537946939468384,0.7721529603004456,0.8537946343421936,0.7671640515327454
22,0.967151939868927,0.9563002586364746,0.9671518206596375,0.10365154594182968,0.8588169813156128,0.7916808724403381,0.858816921710968,0.6986030340194702
23,0.9666193127632141,0.9592708945274353,0.9666192531585693,0.10175348073244095,0.8678851127624512,0.8049799799919128,0.8678850531578064,0.7164607644081116
24,0.9723011255264282,0.9670926332473755,0.9723010659217834,0.0861206203699112,0.8604910969734192,0.790488064289093,0.8604910373687744,0.7177746891975403
25,0.9708806276321411,0.96370530128479,0.9708805680274963,0.08785056322813034,0.8701172471046448,0.8039465546607971,0.8701171875,0.6687623858451843
26,0.9757338762283325,0.9711304903030396,0.9757338166236877,0.07790973782539368,0.8613281846046448,0.7931022644042969,0.8613281846046448,0.6915366053581238
27,0.9756746888160706,0.9711608290672302,0.975674569606781,0.07445671409368515,0.8671875596046448,0.8040291666984558,0.8671875,0.7564666271209717
28,0.9757338762283325,0.9686371684074402,0.9757338166236877,0.0759180337190628,0.8655134439468384,0.798594057559967,0.8655133247375488,0.741929829120636
29,0.9728929400444031,0.9677428007125854,0.9728929400444031,0.07972283661365509,0.859933078289032,0.7886805534362793,0.8599330186843872,0.7491978406906128
30,0.9732480645179749,0.9673808813095093,0.9732480645179749,0.08108744025230408,0.8669085502624512,0.8014591336250305,0.8669084906578064,0.7709301114082336
31,0.9738399386405945,0.9678911566734314,0.9738398790359497,0.08247855305671692,0.8639788627624512,0.7956835031509399,0.8639788031578064,0.7639058828353882
32,0.974964439868927,0.9681662321090698,0.974964439868927,0.07626821845769882,0.8554688096046448,0.7749295830726624,0.85546875,0.8018381595611572
33,0.9747276902198792,0.965261697769165,0.9747276306152344,0.08042943477630615,0.8607701063156128,0.785896897315979,0.8607701063156128,0.7638847827911377
34,0.9754379391670227,0.9692488312721252,0.9754378795623779,0.07916184514760971,0.8583984971046448,0.7908414006233215,0.8583984375,0.7794097065925598
35,0.974964439868927,0.968997061252594,0.974964439868927,0.07622691243886948,0.8539341688156128,0.7907337546348572,0.8539341688156128,0.7920424342155457
36,0.9756746888160706,0.9676763415336609,0.975674569606781,0.07649242877960205,0.8635603189468384,0.7925398349761963,0.8635602593421936,0.7490193247795105
37,0.9755563139915466,0.969723105430603,0.9755562543869019,0.0751502513885498,0.8635603189468384,0.8003327250480652,0.8635602593421936,0.7310911417007446
38,0.9781605005264282,0.9702328443527222,0.9781604409217834,0.067588210105896,0.8586775064468384,0.7854464054107666,0.8586774468421936,0.7754489183425903
